Epoch,Loss,Accuracy
1,0.214721,0.931035
2,0.012423,1.000000
3,0.057443,0.965517
4,0.009980,1.000000
5,0.012519,1.000000
6,0.007617,1.000000
7,0.003243,1.000000
8,0.007348,1.000000
9,0.003321,1.000000
10,0.003068,1.000000
11,0.001881,1.000000
12,0.002155,1.000000
13,0.002906,1.000000
14,0.001462,1.000000
15,0.002919,1.000000
16,0.002939,1.000000
17,0.001116,1.000000
18,0.001941,1.000000
19,0.000646,1.000000
20,0.000108,1.000000
